2020/9/1 星期二 8:48:56	正在初始化...已完成
2020/9/1 星期二 9:01:03	开始预订G74车次的车票...

2020/9/1 星期二 9:01:03	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:03	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:04	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:04	开始预订G74车次的车票...

2020/9/1 星期二 9:01:04	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:04	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:04	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:04	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:04	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:04	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:04	[任务2]12306系统忙,自动重试

2020/9/1 星期二 9:01:06	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:06	开始预订G74车次的车票...

2020/9/1 星期二 9:01:06	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:06	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:07	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:07	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:07	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:07	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:07	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:07	开始预订G74车次的车票...

2020/9/1 星期二 9:01:07	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:07	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:08	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:08	开始预订G74车次的车票...

2020/9/1 星期二 9:01:08	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:08	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:08	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:08	开始预订G74车次的车票...

2020/9/1 星期二 9:01:08	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:08	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:08	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:09	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:09	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:09	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:09	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:09	开始预订G74车次的车票...

2020/9/1 星期二 9:01:09	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:09	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:09	[任务2]12306系统忙,自动重试

2020/9/1 星期二 9:01:11	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:12	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:12	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:12	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:12	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:12	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:12	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:12	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:13	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:13	开始预订G74车次的车票...

2020/9/1 星期二 9:01:13	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:13	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:13	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:13	开始预订G74车次的车票...

2020/9/1 星期二 9:01:13	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:13	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:14	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:14	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:14	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:14	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:14	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:15	开始预订G74车次的车票...

2020/9/1 星期二 9:01:15	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:15	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:15	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:15	开始预订G74车次的车票...

2020/9/1 星期二 9:01:15	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:15	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:15	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:16	开始预订G74车次的车票...

2020/9/1 星期二 9:01:16	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:16	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:16	[任务2]12306系统忙,自动重试

2020/9/1 星期二 9:01:18	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:18	开始预订G74车次的车票...

2020/9/1 星期二 9:01:18	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:18	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:18	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:18	开始预订G74车次的车票...

2020/9/1 星期二 9:01:18	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:18	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:18	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:18	开始预订G74车次的车票...

2020/9/1 星期二 9:01:18	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:18	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:19	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:19	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:19	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:19	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:19	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:20	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:20	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:20	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:21	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:21	开始预订G1004车次的车票...

2020/9/1 星期二 9:01:21	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:21	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:21	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:01:21	开始预订G74车次的车票...

2020/9/1 星期二 9:01:21	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:01:21	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:01:21	[任务2]来自12306的返回：网络繁忙

2020/9/1 星期二 9:01:21	[待处理]已停止任务,等待用户处理

2020/9/1 星期二 9:01:21	[微信通知]发送成功！

2020/9/1 星期二 9:04:23	查询完毕,本次查询共用时:35毫秒

2020/9/1 星期二 9:04:26	查询完毕,本次查询共用时:331毫秒

2020/9/1 星期二 9:04:37	查询完毕,本次查询共用时:52毫秒

2020/9/1 星期二 9:04:47	查询完毕,本次查询共用时:319毫秒

